provider,build_a,build_b,state,judge,criterion,winner,consistent
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,claude-sonnet-5,aesthetic_pleasure,anthropic_claude-haiku-4-5-20251001_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,aesthetic_pleasure,anthropic_claude-opus-5_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,aesthetic_pleasure,anthropic_claude-opus-5_rep2,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,claude-sonnet-5,clarity,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,clarity,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,clarity,anthropic_claude-haiku-4-5-20251001_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,claude-sonnet-5,comfort,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,comfort,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,comfort,anthropic_claude-haiku-4-5-20251001_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,claude-sonnet-5,ease_of_use,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,ease_of_use,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,ease_of_use,anthropic_claude-haiku-4-5-20251001_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,claude-sonnet-5,interest,anthropic_claude-haiku-4-5-20251001_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,interest,anthropic_claude-opus-5_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,interest,anthropic_claude-opus-5_rep2,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,claude-sonnet-5,intuitive,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,intuitive,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,intuitive,anthropic_claude-haiku-4-5-20251001_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,memorable,anthropic_claude-opus-5_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,memorable,anthropic_claude-opus-5_rep2,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,claude-sonnet-5,overall,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,overall,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,overall,anthropic_claude-haiku-4-5-20251001_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,claude-sonnet-5,trust,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,trust,anthropic_claude-haiku-4-5-20251001_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,trust,anthropic_claude-haiku-4-5-20251001_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,claude-sonnet-5,visual_hierarchy,anthropic_claude-haiku-4-5-20251001_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,visual_hierarchy,anthropic_claude-opus-5_rep1,True
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep2,1_boot_idle,claude-sonnet-5,visual_hierarchy,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,gpt-4.1,aesthetic_pleasure,tie,False
anthropic,anthropic_claude-haiku-4-5-20251001_rep1,anthropic_claude-opus-5_rep1,1_boot_idle,gpt-4.1,aesthetic_pleasure,anthropic_claude-opus-5_rep1,True
