frame,build_id,state,judge,n_reps_parsed,ease_of_use,clarity,visual_hierarchy,memorable,trust,intuitive,aesthetic_pleasure,interest,comfort
anthropic_claude-haiku-4-5-20251001_rep1__1_boot_idle.png,anthropic_claude-haiku-4-5-20251001_rep1,1_boot_idle,claude-sonnet-5,3,6,7,6,5,5,6,5,3,5
anthropic_claude-haiku-4-5-20251001_rep1__1_boot_idle.png,anthropic_claude-haiku-4-5-20251001_rep1,1_boot_idle,gpt-4.1,3,6,7,6,5,6,6,5,3,6
anthropic_claude-haiku-4-5-20251001_rep1__1_boot_idle.png,anthropic_claude-haiku-4-5-20251001_rep1,1_boot_idle,qwen3.6-27b,3,6,7,6,3,5,7,3,2,5
anthropic_claude-haiku-4-5-20251001_rep1__2_started.png,anthropic_claude-haiku-4-5-20251001_rep1,2_started,claude-sonnet-5,3,6,7,6,5,5,6,4,3,6
anthropic_claude-haiku-4-5-20251001_rep1__2_started.png,anthropic_claude-haiku-4-5-20251001_rep1,2_started,gpt-4.1,3,7,7,6,5,6,6,4,3,6
anthropic_claude-haiku-4-5-20251001_rep1__2_started.png,anthropic_claude-haiku-4-5-20251001_rep1,2_started,qwen3.6-27b,2,6.5,7.0,5.5,4.0,5.5,7.0,4.5,2.5,6.0
anthropic_claude-haiku-4-5-20251001_rep1__3_mid_meeting.png,anthropic_claude-haiku-4-5-20251001_rep1,3_mid_meeting,claude-sonnet-5,3,6,7,6,4,5,6,4,3,5
anthropic_claude-haiku-4-5-20251001_rep1__3_mid_meeting.png,anthropic_claude-haiku-4-5-20251001_rep1,3_mid_meeting,gpt-4.1,3,7,7,6,5,6,7,4,3,6
anthropic_claude-haiku-4-5-20251001_rep1__3_mid_meeting.png,anthropic_claude-haiku-4-5-20251001_rep1,3_mid_meeting,qwen3.6-27b,2,6.5,7.0,6.0,3.0,6.0,7.0,4.0,2.5,6.0
anthropic_claude-haiku-4-5-20251001_rep1__4_threshold.png,anthropic_claude-haiku-4-5-20251001_rep1,4_threshold,claude-sonnet-5,3,6,7,6,5,5,6,4,3,6
anthropic_claude-haiku-4-5-20251001_rep1__4_threshold.png,anthropic_claude-haiku-4-5-20251001_rep1,4_threshold,gpt-4.1,3,7,7,6,6,6,7,5,4,7
anthropic_claude-haiku-4-5-20251001_rep1__4_threshold.png,anthropic_claude-haiku-4-5-20251001_rep1,4_threshold,qwen3.6-27b,1,6,7,6,3,4,7,2,2,6
anthropic_claude-haiku-4-5-20251001_rep1__5_extended.png,anthropic_claude-haiku-4-5-20251001_rep1,5_extended,claude-sonnet-5,3,7,7,6,5,5,6,4,4,5
anthropic_claude-haiku-4-5-20251001_rep1__5_extended.png,anthropic_claude-haiku-4-5-20251001_rep1,5_extended,gpt-4.1,3,6,7,6,5,5,6,4,3,4
anthropic_claude-haiku-4-5-20251001_rep1__5_extended.png,anthropic_claude-haiku-4-5-20251001_rep1,5_extended,qwen3.6-27b,2,6.5,6.5,6.0,3.0,5.0,7.0,3.5,2.5,4.0
anthropic_claude-haiku-4-5-20251001_rep1__6_stopped.png,anthropic_claude-haiku-4-5-20251001_rep1,6_stopped,claude-sonnet-5,3,7,7,6,4,5,7,4,3,5
anthropic_claude-haiku-4-5-20251001_rep1__6_stopped.png,anthropic_claude-haiku-4-5-20251001_rep1,6_stopped,gpt-4.1,3,6,7,6,5,5,6,4,3,4
anthropic_claude-haiku-4-5-20251001_rep1__6_stopped.png,anthropic_claude-haiku-4-5-20251001_rep1,6_stopped,qwen3.6-27b,2,4.5,6.5,6.0,5.5,3.5,6.5,3.5,5.0,3.5
anthropic_claude-haiku-4-5-20251001_rep2__1_boot_idle.png,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,claude-sonnet-5,3,6,7,6,4,4,5,4,3,5
anthropic_claude-haiku-4-5-20251001_rep2__1_boot_idle.png,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,gpt-4.1,3,6,7,6,5,5,6,4,3,6
anthropic_claude-haiku-4-5-20251001_rep2__1_boot_idle.png,anthropic_claude-haiku-4-5-20251001_rep2,1_boot_idle,qwen3.6-27b,1,6,7,4,2,5,6,3,2,6
anthropic_claude-haiku-4-5-20251001_rep2__2_started.png,anthropic_claude-haiku-4-5-20251001_rep2,2_started,claude-sonnet-5,3,4,6,1,1,3,1,2,1,3
anthropic_claude-haiku-4-5-20251001_rep2__2_started.png,anthropic_claude-haiku-4-5-20251001_rep2,2_started,gpt-4.1,3,1,7,1,2,1,1,2,1,1
anthropic_claude-haiku-4-5-20251001_rep2__2_started.png,anthropic_claude-haiku-4-5-20251001_rep2,2_started,qwen3.6-27b,1,1,1,1,1,1,1,1,1,1
anthropic_claude-haiku-4-5-20251001_rep2__3_mid_meeting.png,anthropic_claude-haiku-4-5-20251001_rep2,3_mid_meeting,claude-sonnet-5,3,3,6,2,3,3,2,4,2,3
anthropic_claude-haiku-4-5-20251001_rep2__3_mid_meeting.png,anthropic_claude-haiku-4-5-20251001_rep2,3_mid_meeting,gpt-4.1,3,1,7,1,2,2,1,3,2,2
anthropic_claude-haiku-4-5-20251001_rep2__3_mid_meeting.png,anthropic_claude-haiku-4-5-20251001_rep2,3_mid_meeting,qwen3.6-27b,1,1.0,3.5,1.5,2.5,2.5,1,4,3,3
anthropic_claude-haiku-4-5-20251001_rep2__4_threshold.png,anthropic_claude-haiku-4-5-20251001_rep2,4_threshold,claude-sonnet-5,3,4,7,2,3,3,2,4,2,4
anthropic_claude-haiku-4-5-20251001_rep2__4_threshold.png,anthropic_claude-haiku-4-5-20251001_rep2,4_threshold,gpt-4.1,3,1,7,2,2,2,1,4,2,2
anthropic_claude-haiku-4-5-20251001_rep2__4_threshold.png,anthropic_claude-haiku-4-5-20251001_rep2,4_threshold,qwen3.6-27b,2,1.0,4.0,2.0,2.5,1.5,1.0,2.0,1.5,1.5
anthropic_claude-haiku-4-5-20251001_rep2__5_extended.png,anthropic_claude-haiku-4-5-20251001_rep2,5_extended,claude-sonnet-5,3,4,7,1,2,3,2,4,2,4
anthropic_claude-haiku-4-5-20251001_rep2__5_extended.png,anthropic_claude-haiku-4-5-20251001_rep2,5_extended,gpt-4.1,3,1,7,1,2,2,1,3,1,2
anthropic_claude-haiku-4-5-20251001_rep2__5_extended.png,anthropic_claude-haiku-4-5-20251001_rep2,5_extended,qwen3.6-27b,1,2,7,5,2,2,1,3,1,2
anthropic_claude-haiku-4-5-20251001_rep2__6_stopped.png,anthropic_claude-haiku-4-5-20251001_rep2,6_stopped,claude-sonnet-5,3,6,7,5,4,5,5,4,3,5
anthropic_claude-haiku-4-5-20251001_rep2__6_stopped.png,anthropic_claude-haiku-4-5-20251001_rep2,6_stopped,gpt-4.1,3,6,7,6,5,5,6,4,3,6
anthropic_claude-haiku-4-5-20251001_rep2__6_stopped.png,anthropic_claude-haiku-4-5-20251001_rep2,6_stopped,qwen3.6-27b,2,4.0,7.0,4.0,3.0,4.5,5.5,2.0,1.5,4.5
anthropic_claude-opus-5_rep1__1_boot_idle.png,anthropic_claude-opus-5_rep1,1_boot_idle,claude-sonnet-5,3,6,7,6,5,4,5,5,4,6
anthropic_claude-opus-5_rep1__1_boot_idle.png,anthropic_claude-opus-5_rep1,1_boot_idle,gpt-4.1,3,7,7,7,6,6,7,5,4,6
anthropic_claude-opus-5_rep1__1_boot_idle.png,anthropic_claude-opus-5_rep1,1_boot_idle,qwen3.6-27b,0,,,,,,,,,
anthropic_claude-opus-5_rep1__2_started.png,anthropic_claude-opus-5_rep1,2_started,claude-sonnet-5,3,6,7,7,5,4,5,5,5,5
anthropic_claude-opus-5_rep1__2_started.png,anthropic_claude-opus-5_rep1,2_started,gpt-4.1,3,6,7,7,5,5,6,5,4,6
anthropic_claude-opus-5_rep1__2_started.png,anthropic_claude-opus-5_rep1,2_started,qwen3.6-27b,1,7,7,6,6,4,7,5,6,6
anthropic_claude-opus-5_rep1__3_mid_meeting.png,anthropic_claude-opus-5_rep1,3_mid_meeting,claude-sonnet-5,3,6,7,6,5,4,6,5,5,5
anthropic_claude-opus-5_rep1__3_mid_meeting.png,anthropic_claude-opus-5_rep1,3_mid_meeting,gpt-4.1,3,6,7,7,6,5,6,5,6,5
anthropic_claude-opus-5_rep1__3_mid_meeting.png,anthropic_claude-opus-5_rep1,3_mid_meeting,qwen3.6-27b,3,6,7,7,6,5,7,6,6,6
anthropic_claude-opus-5_rep1__4_threshold.png,anthropic_claude-opus-5_rep1,4_threshold,claude-sonnet-5,3,6,7,6,5,3,5,5,5,4
anthropic_claude-opus-5_rep1__4_threshold.png,anthropic_claude-opus-5_rep1,4_threshold,gpt-4.1,3,4,6,7,6,4,4,5,6,3
anthropic_claude-opus-5_rep1__4_threshold.png,anthropic_claude-opus-5_rep1,4_threshold,qwen3.6-27b,1,6,7,7,6,4,5,6,6,2
