build_id,provider,tier,model,rep,code_bytes,static_check_ok,compiled,compile_s,error_summary
anthropic_claude-haiku-4-5-20251001_rep1,anthropic,low,claude-haiku-4-5-20251001,1,5453,True,False,24.91,/tmp/gate1_kbrq87eo/knapp/knapp.ino:171:26: error: 'Font7_GLCD_M' is not a member of 'fonts' /tmp/gate1_kbrq87eo/knapp/knapp.ino:201:3: error: 'ledcSetup' was not declared in this scope /tmp/gate1_kbrq87eo/knapp/knapp.ino:202:3: error: 'ledcAttachPin' was not declared in this scope; did you mean 'ledcAttach'?
anthropic_claude-haiku-4-5-20251001_rep2,anthropic,low,claude-haiku-4-5-20251001,2,6757,True,False,23.88,/tmp/gate1_0dpuljso/knapp/knapp.ino:54:23: error: no matching function for call to 'lgfx::v1::LGFX_Sprite::LGFX_Sprite(LGFX&)' /tmp/gate1_0dpuljso/knapp/knapp.ino:212:56: error: 'CC_DATUM' is not a member of 'lgfx::v1::textdatum::textdatum_t' /tmp/gate1_0dpuljso/knapp/knapp.ino:217:57: error: 'CC_DATUM' is not a member of 'lgfx::v1::textdatum::textdatum_t' /tmp/gate1_0dpuljso/knapp/knapp.ino:226:5
anthropic_claude-opus-5_rep1,anthropic,high,claude-opus-5,1,12019,True,False,25.89,/tmp/gate1_mnr6g3wi/knapp/knapp.ino:83:1: error: 'BtnEvent' does not name a type
anthropic_claude-opus-5_rep2,anthropic,high,claude-opus-5,2,11917,True,False,25.53,/tmp/gate1_v9etu5lu/knapp/knapp.ino:76:26: error: 'RGB' was not declared in this scope /tmp/gate1_v9etu5lu/knapp/knapp.ino:76:33: error: expected primary-expression before 'float' /tmp/gate1_v9etu5lu/knapp/knapp.ino:76:40: error: expression list treated as compound expression in initializer [-fpermissive] /tmp/gate1_v9etu5lu/knapp/knapp.ino:100:27: error: 'Btn' was not declared in this scope /tmp/
deepseek_deepseek-v4-flash_rep2,deepseek,low,deepseek-v4-flash,2,8252,True,False,24.09,/tmp/gate1_4gqu_ii0/knapp/knapp.ino:141:15: error: 'using LGFX_Sprite = class lgfx::v1::LGFX_Sprite' {aka 'class lgfx::v1::LGFX_Sprite'} has no member named 'created'; did you mean 'createPng'? /tmp/gate1_4gqu_ii0/knapp/knapp.ino:155:28: error: 'FreeSansBold36pt7b' is not a member of 'fonts'
deepseek_deepseek-v4-pro_rep1,deepseek,high,deepseek-v4-pro,1,8161,True,False,2.38,/tmp/gate1_xtl7jdlo/knapp/knapp.ino:2:10: fatal error: LGFX.hpp: No such file or directory
deepseek_deepseek-v4-pro_rep2,deepseek,high,deepseek-v4-pro,2,7484,True,False,25.23,/tmp/gate1_cavyrawt/knapp/knapp.ino:94:6: error: variable or field 'pollButton' declared void /tmp/gate1_cavyrawt/knapp/knapp.ino:94:17: error: 'Button' was not declared in this scope /tmp/gate1_cavyrawt/knapp/knapp.ino:94:25: error: 'b' was not declared in this scope
groq_llama-3.1-8b-instant_rep1,groq,low,llama-3.1-8b-instant,1,2265,True,False,24.83,/tmp/gate1_pqaapyu2/knapp/knapp.ino:12:1: error: 'LGFX' does not name a type /tmp/gate1_pqaapyu2/knapp/knapp.ino:28:3: error: 'tft' was not declared in this scope /tmp/gate1_pqaapyu2/knapp/knapp.ino:34:14: error: expected unqualified-id before '.' token /tmp/gate1_pqaapyu2/knapp/knapp.ino:36:31: error: expected primary-expression before '.' token /tmp/gate1_pqaapyu2/knapp/knapp.ino:40:14: error: e
groq_llama-3.1-8b-instant_rep2,groq,low,llama-3.1-8b-instant,2,1208,True,False,23.07,/tmp/gate1_w2ufqk_b/knapp/knapp.ino:14:1: error: 'LGFX' does not name a type /tmp/gate1_w2ufqk_b/knapp/knapp.ino:18:3: error: 'tft' was not declared in this scope /tmp/gate1_w2ufqk_b/knapp/knapp.ino:42:5: error: 'tft' was not declared in this scope /tmp/gate1_w2ufqk_b/knapp/knapp.ino:42:20: error: 'LGFX_COLOR_BLACK' was not declared in this scope; did you mean 'LOG_ANSI_COLOR_BLACK'? /tmp/gate1_w2
groq_llama-3.3-70b-versatile_rep1,groq,mid,llama-3.3-70b-versatile,1,1836,True,False,22.75,/tmp/gate1_nc4ttnm0/knapp/knapp.ino:36:3: error: 'ledcSetup' was not declared in this scope /tmp/gate1_nc4ttnm0/knapp/knapp.ino:37:3: error: 'ledcAttachPin' was not declared in this scope; did you mean 'ledcAttach'? /tmp/gate1_nc4ttnm0/knapp/knapp.ino:54:14: error: expected ';' before ')' token /tmp/gate1_nc4ttnm0/knapp/knapp.ino:54:7: error: statement cannot resolve address of overloaded function
groq_llama-3.3-70b-versatile_rep2,groq,mid,llama-3.3-70b-versatile,2,2054,True,False,21.80,/tmp/gate1_u5l_plhz/knapp/knapp.ino:84:16: error: expected ';' before ')' token /tmp/gate1_u5l_plhz/knapp/knapp.ino:84:9: error: statement cannot resolve address of overloaded function
groq_openai_gpt-oss-120b_rep1,groq,high,openai_gpt-oss-120b,1,7492,True,True,54.03,
groq_openai_gpt-oss-120b_rep2,groq,high,openai_gpt-oss-120b,2,7404,True,True,54.65,
openai_gpt-4.1_rep1,openai,mid,gpt-4.1,1,7675,True,False,21.78,/tmp/gate1_kkpbykmx/knapp/knapp.ino:65:6: error: variable or field 'pollButton' declared void /tmp/gate1_kkpbykmx/knapp/knapp.ino:65:17: error: 'Button' was not declared in this scope /tmp/gate1_kkpbykmx/knapp/knapp.ino:65:25: error: 'btn' was not declared in this scope /tmp/gate1_kkpbykmx/knapp/knapp.ino:65:37: error: 'onShort' was not declared in this scope /tmp/gate1_kkpbykmx/knapp/knapp.ino:65
openai_gpt-4.1_rep2,openai,mid,gpt-4.1,2,7332,True,False,23.31,/tmp/gate1_qyc0fq25/knapp/knapp.ino:199:3: error: 'ledcAttachPin' was not declared in this scope; did you mean 'ledcAttach'? /tmp/gate1_qyc0fq25/knapp/knapp.ino:200:3: error: 'ledcSetup' was not declared in this scope /tmp/gate1_qyc0fq25/knapp/knapp.ino:214:7: error: 'class LGFX' has no member named 'pushSprite' /tmp/gate1_qyc0fq25/knapp/knapp.ino:231:9: error: 'class LGFX' has no member named 'pu
openai_gpt-4o-mini_rep1,openai,low,gpt-4o-mini,1,2844,True,True,52.49,
openai_gpt-4o-mini_rep2,openai,low,gpt-4o-mini,2,2783,True,False,22.90,"/tmp/gate1_tfcb_q0l/knapp/knapp.ino:73:21: error: no matching function for call to 'LGFX::setTextColor(int, int, int)'"
openai_gpt-5.5_rep1,openai,high,gpt-5.5,1,9344,True,True,50.68,
openai_gpt-5.5_rep2,openai,high,gpt-5.5,2,12163,True,True,52.95,
