build_id,provider,tier,model,rep,passes_used,deployed_compiled,final_code_bytes,repair_error
anthropic_claude-haiku-4-5-20251001_rep1,anthropic,low,claude-haiku-4-5-20251001,1,2,True,5425,
anthropic_claude-haiku-4-5-20251001_rep2,anthropic,low,claude-haiku-4-5-20251001,2,2,True,6734,
anthropic_claude-opus-5_rep1,anthropic,high,claude-opus-5,1,2,True,11847,
anthropic_claude-opus-5_rep2,anthropic,high,claude-opus-5,2,2,True,11919,
deepseek_deepseek-v4-flash_rep2,deepseek,low,deepseek-v4-flash,2,2,True,7296,
deepseek_deepseek-v4-pro_rep1,deepseek,high,deepseek-v4-pro,1,2,True,6978,
deepseek_deepseek-v4-pro_rep2,deepseek,high,deepseek-v4-pro,2,2,True,7173,
groq_llama-3.1-8b-instant_rep1,groq,low,llama-3.1-8b-instant,1,3,False,2266,/tmp/gate1r_blml4y1f/knapp/knapp.ino:35:14: error: expected unqualified-id before '.' token /tmp/gate1r_blml4y1f/knapp/knapp.ino:37:31: error: expected primary-expression before '.' token /tmp/gate1r_blml4y1f/knapp/knapp.ino:41:14: error: expected unqualified-id before '.' token /tmp/gate1r_blml4y1f
groq_llama-3.1-8b-instant_rep2,groq,low,llama-3.1-8b-instant,2,3,False,1166,/tmp/gate1r_e08bgca9/knapp/knapp.ino:11:1: error: 'LGFX' does not name a type /tmp/gate1r_e08bgca9/knapp/knapp.ino:15:3: error: 'tft' was not declared in this scope /tmp/gate1r_e08bgca9/knapp/knapp.ino:18:11: error: 'PIN_SW1' was not declared in this scope /tmp/gate1r_e08bgca9/knapp/knapp.ino:19:11:
groq_llama-3.3-70b-versatile_rep1,groq,mid,llama-3.3-70b-versatile,1,3,False,1837,/tmp/gate1r_073kvq39/knapp/knapp.ino:36:3: error: 'ledcAttachPin' was not declared in this scope; did you mean 'ledcAttach'?
groq_llama-3.3-70b-versatile_rep2,groq,mid,llama-3.3-70b-versatile,2,2,True,1999,
groq_openai_gpt-oss-120b_rep1,groq,high,openai/gpt-oss-120b,1,1,True,7492,
groq_openai_gpt-oss-120b_rep2,groq,high,openai/gpt-oss-120b,2,1,True,7404,
openai_gpt-4.1_rep1,openai,mid,gpt-4.1,1,2,True,7256,
openai_gpt-4.1_rep2,openai,mid,gpt-4.1,2,3,False,7244,/tmp/gate1r_ly_e4bqr/knapp/knapp.ino:212:7: error: 'class LGFX' has no member named 'pushSprite' /tmp/gate1r_ly_e4bqr/knapp/knapp.ino:229:9: error: 'class LGFX' has no member named 'pushSprite'
openai_gpt-4o-mini_rep1,openai,low,gpt-4o-mini,1,1,True,2844,
openai_gpt-4o-mini_rep2,openai,low,gpt-4o-mini,2,2,True,2713,
openai_gpt-5.5_rep1,openai,high,gpt-5.5,1,1,True,9344,
openai_gpt-5.5_rep2,openai,high,gpt-5.5,2,1,True,12163,
